IP,connection,Status,AS_num,AS_name,host
223.118.18.61,1,Intermediate,58453.0,"CMI-INT-HK Level 30, Tower 1, HK",NA
223.118.18.34,1,Intermediate,58453.0,"CMI-INT-HK Level 30, Tower 1, HK",NA
223.119.0.93,1,Intermediate,58453.0,"CMI-INT-HK Level 30, Tower 1, HK",NA
37.10.40.14,1,Intermediate,202196.0,"BOOKING-BV, NL",NA
154.54.60.14,1,Intermediate,174.0,"COGENT-174, US",be3488.ccr52.lhr01.atlas.cogentco.com
130.117.48.146,1,Intermediate,174.0,"COGENT-174, US",be3672.agr21.lhr01.atlas.cogentco.com
149.11.167.106,1,Intermediate,174.0,"COGENT-174, US",nuco.demarc.cogentco.com
92.60.104.117,1,Intermediate,45014.0,"HOSTIT-MK-AS Milton Keynes Facility, GB",eth-51.sw1.ld5.slough.as45014.net
92.60.104.182,1,Intermediate,45014.0,"HOSTIT-MK-AS Milton Keynes Facility, GB",eth-47.gw7.rtr.mkdc0.as45014.net
185.184.236.30,1,Intermediate,45014.0,"HOSTIT-MK-AS Milton Keynes Facility, GB",rdns.host-it.co.uk
62.40.98.192,7,Intermediate,20965.0,"GEANT The GEANT IP Service, GB",ae8.mx1.fra.de.geant.net
62.40.98.186,5,Intermediate,20965.0,"GEANT The GEANT IP Service, GB",ae7.mx1.ams.nl.geant.net
62.40.98.129,4,Intermediate,20965.0,"GEANT The GEANT IP Service, GB",ae9.mx1.lon.uk.geant.net
195.66.224.76,5,Intermediate,,,ge-2-1-0.mpr1.lhr2.uk.above.net
64.125.30.52,5,Intermediate,6461.0,"ZAYO-6461, US",NA
64.125.29.203,3,Intermediate,6461.0,"ZAYO-6461, US",ae4.cs1.dca2.us.eth.zayo.com
64.125.31.169,2,Intermediate,6461.0,"ZAYO-6461, US",ae28.cs2.atl10.us.zip.zayo.com
64.125.30.205,2,Intermediate,6461.0,"ZAYO-6461, US",ae5.mpr2.mia1.us.zip.zayo.com
