From,To,Date,Time,Next_Hop,AS_PATH,Announce,Withdraw
AS265721,AS12654,04/29/20,15:06:06,45.65.244.1,"['265721', '23520', '3491', '3356', '13904']",['  64.68.236.0/22'],['N/A']
AS265721,AS12654,04/29/20,15:06:07,45.65.244.1,"['265721', '23520', '6939', '24785', '51758', '51758', '51758', '51758']",['  95.215.184.0/21'],['N/A']
AS265721,AS12654,04/29/20,15:06:08,45.65.244.1,"['265721', '23520', '1299', '24785', '51758', '51758', '51758', '51758']",['  95.215.184.0/21'],['N/A']
AS265721,AS12654,04/29/20,15:06:09,,['N/A'],['N/A'],['  67.211.53.0/24']
AS265721,AS12654,04/29/20,15:06:11,,['N/A'],['N/A'],"['  197.232.26.0/23', '  197.232.0.0/22', '  197.232.38.0/23', '  197.232.242.0/23', '  197.232.16.0/23']"
AS265721,AS12654,04/29/20,15:06:12,45.65.244.1,"['265721', '23520', '6830', '6939', '36029']","['  198.105.248.0/24', '  198.105.251.0/24', '  198.105.254.0/24', '  198.105.249.0/24', '  198.105.247.0/24', '  198.105.252.0/24', '  198.105.253.0/24']",['N/A']
AS265721,AS12654,04/29/20,15:06:13,45.65.244.1,"['265721', '23520', '6939', '4826', '198148']","['  63.218.116.0/23', '  63.217.120.0/22', '  63.218.156.0/23']",['N/A']
AS265721,AS12654,04/29/20,15:06:14,45.65.244.1,"['265721', '23520', '1299', '6453', '37662', '36866', '37619', '37228']",['  197.243.88.0/22'],['N/A']
AS265721,AS12654,04/29/20,15:06:15,45.65.244.1,"['265721', '23520', '1299', '6453', '37662', '36866', '37619', '37228']","['  197.243.96.0/22', '  197.243.80.0/22', '  197.243.76.0/22', '  197.243.84.0/22', '  197.243.44.0/22']",['N/A']
AS265721,AS12654,04/29/20,15:06:16,,['N/A'],['N/A'],"['  197.243.80.0/22', '  197.232.6.0/23', '  197.232.32.0/23', '  197.232.252.0/22', '  197.243.76.0/22', '  197.232.14.0/23', '  197.232.246.0/23', '  197.232.16.0/23', '  45.166.29.0/24', '  197.232.2.0/23', '  197.243.88.0/22', '  197.232.26.0/23', '  197.232.252.0/23', '  197.232.0.0/23', '  197.232.244.0/23', '  197.243.84.0/22', '  197.232.4.0/22', '  197.232.242.0/23', '  197.232.16.0/22', '  197.243.96.0/22', '  197.232.46.0/23', '  45.166.28.0/24', '  197.232.0.0/22', '  197.232.248.0/22', '  197.232.32.0/22', '  197.232.36.0/22']"
AS265721,AS12654,04/29/20,15:06:17,45.65.244.1,"['265721', '23520', '16735', '52573', '61689', '61689', '61689']",['  177.84.238.0/23'],['N/A']
AS265721,AS12654,04/29/20,15:06:21,45.65.244.1,"['265721', '23520', '1299', '174', '36944', '36914', '36914', '36914', '36914']","['  41.89.97.0/24', '  41.89.122.0/24', '  41.89.56.0/24', '  41.89.112.0/24', '  41.89.171.0/24', '  41.89.119.0/24', '  41.89.98.0/24', '  41.89.182.0/24', '  41.89.178.0/24', '  41.89.96.0/23', '  41.89.167.0/24', '  41.89.103.0/24']",['N/A']
AS265721,AS12654,04/29/20,15:06:22,45.65.244.1,"['265721', '23520', '1299', '16509']",['  130.137.80.0/24'],['N/A']
AS265721,AS12654,04/29/20,15:06:23,,['N/A'],['N/A'],['  67.211.53.0/24']
AS265721,AS12654,04/29/20,15:06:24,45.65.244.1,"['265721', '23520', '3491', '174', '16509']",['  130.137.79.0/24'],['N/A']
AS265721,AS12654,04/29/20,15:06:25,45.65.244.1,"['265721', '23520', '3491', '6453', '37662', '327727']",['  154.72.17.0/24'],['N/A']
AS265721,AS12654,04/29/20,15:06:26,45.65.244.1,"['265721', '23520', '1299', '58552', '58369', '138863']",['  103.139.166.0/23'],['N/A']
AS265721,AS12654,04/29/20,15:06:27,45.65.244.1,"['265721', '23520', '6939', '53356', '42615']",['  23.132.96.0/24'],['N/A']
AS265721,AS12654,04/29/20,15:06:28,45.65.244.1,"['265721', '23520', '6830', '6461', '17223', '63201']",['  161.38.186.0/24'],['N/A']
AS265721,AS12654,04/29/20,15:06:29,45.65.244.1,"['265721', '23520', '6830', '12956', '10429', '52871', '52871', '52871']",['  177.136.12.0/24'],['N/A']
AS265721,AS12654,04/29/20,15:06:30,45.65.244.1,"['265721', '23520', '6939', '24785', '51758', '51758', '51758']",['  185.206.232.0/22'],['N/A']
AS265721,AS12654,04/29/20,15:06:31,45.65.244.1,"['265721', '23520', '1299', '2914', '3223', '42745', '59796', '208306']",['  176.222.62.0/24'],['N/A']
AS265721,AS12654,04/29/20,15:06:32,45.65.244.1,"['265721', '23520', '1299', '174', '52320', '8048']",['  200.90.16.0/21'],['N/A']
AS265721,AS12654,04/29/20,15:06:34,45.65.244.1,"['265721', '23520', '6939', '40676']",['  43.251.182.0/24'],['N/A']
AS265721,AS12654,04/29/20,15:06:37,45.65.244.1,"['265721', '23520', '6830', '6453', '45474', '263009']","['  138.59.40.0/24', '  138.59.41.0/24']",['N/A']
AS265721,AS12654,04/29/20,15:06:38,45.65.244.1,"['265721', '23520', '6830', '3257', '8452', '36992']",['  217.52.160.0/22'],['N/A']
AS265721,AS12654,04/29/20,15:06:39,45.65.244.1,"['265721', '23520', '3491', '3356', '26405']",['  67.211.53.0/24'],['N/A']
AS265721,AS12654,04/29/20,15:06:42,45.65.244.1,"['265721', '23520', '1299', '2914', '16509']",['  130.137.108.0/24'],['N/A']
AS265721,AS12654,04/29/20,15:06:44,45.65.244.1,"['265721', '23520', '3491', '6453', '37662', '15808', '328190']",['  192.83.212.0/22'],['N/A']
AS265721,AS12654,04/29/20,15:06:46,45.65.244.1,"['265721', '23520', '1299', '5511', '15808', '328190']",['  192.83.212.0/22'],['N/A']
AS265721,AS12654,04/29/20,15:06:48,45.65.244.1,"['265721', '23520', '1299', '31133', '59796', '59796', '203087']",['  45.152.84.0/24'],['N/A']
AS265721,AS12654,04/29/20,15:06:49,45.65.244.1,"['265721', '23520', '6939', '53356', '42615']",['  23.132.96.0/24'],['N/A']
AS265721,AS12654,04/29/20,15:06:51,45.65.244.1,"['265721', '23520', '1299', '6461', '17223', '63201']",['  161.38.186.0/23'],['N/A']
AS265721,AS12654,04/29/20,15:06:53,45.65.244.1,"['265721', '23520', '1299', '3356', '3549', '264844', '269738']","['  45.181.226.0/24', '  45.181.225.0/24', '  45.181.224.0/24', '  45.181.227.0/24']",['N/A']
AS265721,AS12654,04/29/20,15:06:55,45.65.244.1,"['265721', '23520', '6830', '2603', '11164', '2152', '2152', '18558']","['  204.100.41.0/24', '  204.100.149.0/24', '  204.100.91.0/24', '  204.100.194.0/24', '  204.100.193.0/24', '  204.100.190.0/24', '  204.100.90.0/24', '  204.100.98.0/24', '  204.100.88.0/24', '  204.100.64.0/24', '  204.100.87.0/24', '  204.100.40.0/24', '  204.100.76.0/24', '  204.100.129.0/24', '  204.100.191.0/24', '  204.100.103.0/24', '  204.100.97.0/24', '  204.100.78.0/24', '  204.100.75.0/24', '  204.100.43.0/24', '  204.100.233.0/24', '  204.100.81.0/24', '  204.100.93.0/24', '  204.100.231.0/24', '  204.100.66.0/24', '  204.100.38.0/24']",['N/A']
AS265721,AS12654,04/29/20,15:06:56,45.65.244.1,"['265721', '23520', '1299', '6453', '37662', '15808']",['  197.254.87.0/24'],['N/A']
AS265721,AS12654,04/29/20,15:06:57,45.65.244.1,"['265721', '23520', '1299', '6677', '48685']","['  176.57.224.0/20', '  185.118.32.0/22', '  176.10.32.0/21', '  94.142.152.0/21']",['N/A']
AS265721,AS12654,04/29/20,15:06:59,45.65.244.1,"['265721', '23520', '1299', '31133', '51669', '51669', '51669', '51669']",['  176.120.184.0/22'],['N/A']
AS265721,AS12654,04/29/20,15:07:00,45.65.244.1,"['265721', '23520', '1299', '60051', '208293', '50710']",['  37.238.191.0/24'],['N/A']
AS265721,AS12654,04/29/20,15:07:01,45.65.244.1,"['265721', '23520', '8048', '8048', '8048', '8048', '8048', '8048']",['  200.44.176.0/21'],['N/A']
AS265721,AS12654,04/29/20,15:07:02,,['N/A'],['N/A'],['  200.44.176.0/21']
